k,eta,homo,compl,vmeas,ari,ami,silhouette
2,0.024012088775634766,0.12290154714332842,0.09291040529092161,0.10582205876152158,0.05781164553475637,0.1056338056818333,0.2604585784022384
3,0.03160881996154785,0.11316315880573179,0.05418548285816461,0.07328174690487023,0.06647106144256534,0.07298817857179016,0.18690496234398826
4,0.09519696235656738,0.11037701394132828,0.04295117274811345,0.061838886842341734,0.03911244381051045,0.06145304822509937,0.1492133762881185
5,0.07517337799072266,0.1300423942702878,0.04356811572836621,0.06526911398630937,0.029379182828089632,0.06480978118102101,0.10050513394327885
6,0.10453224182128906,0.1325151473379704,0.041287359402163236,0.06295882167630457,0.035117785965047776,0.062413685592549784,0.133981516712339
7,0.13631749153137207,0.13900320009781383,0.038953660620674936,0.06085388852035928,0.023101230851802452,0.06024959384727878,0.09341284024599245
8,0.14548778533935547,0.1374018043349203,0.03671584521875208,0.057947294759261136,0.016289652154457056,0.057265579351618454,0.0839404794297548
9,0.16431856155395508,0.13422685487419012,0.03300922656617544,0.05298766421272836,0.018909864515728295,0.052254591482492035,0.09411588737659789
10,0.14296412467956543,0.14498008411963312,0.03398455433449105,0.055062090351952565,0.01608337734231566,0.05427007148671928,0.0857398553881686
