k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.054987192153930664,295.04050255311205,0.11970282508059196,0.09040730773100138,0.10301273906704395,0.09848254395380704,0.1028239957567006,0.2819654805831637
3,0.11105871200561523,253.17246629614408,0.10637305247195038,0.05120737263018625,0.06913402514571158,0.06872484829529107,0.06883807170497888,0.22439843244606222
4,0.1289958953857422,228.77039740995798,0.12455475535412616,0.04785093836275324,0.06913996623598259,0.07077685335515493,0.06876068317224776,0.2019838967383957
5,0.14600133895874023,207.60211936608974,0.14974876568081247,0.04867390223609909,0.07346798485520362,0.03921131229187682,0.07302299955404029,0.1792713047928837
6,0.19700002670288086,191.96997832933556,0.1623582234438218,0.04811877290085756,0.0742359366406593,0.04549182628943788,0.07371776791075839,0.18217720587503972
7,0.23200082778930664,180.71588233832853,0.15919833011789555,0.04360831114274995,0.06846294845211828,0.03610221472126945,0.06787426750088311,0.18481767855637432
8,0.23593902587890625,172.63818037486485,0.16229720831881447,0.0414161680962758,0.06599201858587812,0.02408498528653911,0.06534076721330524,0.16941173106240587
9,0.2829318046569824,165.3155969224161,0.1543841627289781,0.03736627768354826,0.060169473218026,0.03193198693968411,0.05945140772026542,0.1678931730873531
10,0.32496213912963867,158.85855629568,0.15191600722716334,0.03534957935481062,0.05735348443630724,0.026195100930392505,0.056568305501887836,0.15803666827906027
