k,eta,homo,compl,vmeas,ari,ami,silhouette
2,13.800962924957275,0.06724628938098924,0.19736248306524345,0.10031333826510033,0.04294409913245476,0.1000350799466692,0.11232836994243776
3,20.988519430160522,0.18368466007526404,0.32594724283601484,0.23495981378240316,0.16123121918107483,0.2345538094563458,0.09019822074858821
4,46.44759559631348,0.3322578983995637,0.40331952496685974,0.3643562009712331,0.3206606377083751,0.363922376449049,0.13048327855006459
5,40.16377019882202,0.3831493450519473,0.40545083411880295,0.3939847482833214,0.3037591717616133,0.39346742945691054,0.11112829490603851
6,37.251851081848145,0.4427944259630173,0.41167120727699497,0.4266659976025432,0.35704029984501495,0.42609257771889497,0.10940939163944852
7,40.840882778167725,0.4721138288947168,0.40126156242541816,0.4338137632629979,0.36345214876743676,0.4331655722001855,0.12107790661777658
8,31.175997018814087,0.49033112485935776,0.39051571490131665,0.4347680007907945,0.35697942359661067,0.4340392488876625,0.1113532184764576
9,30.278705835342407,0.4961867162354502,0.37576475348003746,0.4276602209687669,0.3468634466150215,0.4268401686940502,0.11009117739444634
10,26.69580602645874,0.5147228614303158,0.3658102921697749,0.42767480033307625,0.29453398431151173,0.4267852584422597,0.11672542726528548
