k,eta,homo,compl,vmeas,ari,ami,silhouette
2,0.1379561424255371,0.23940979356347258,0.6170379997361893,0.3449712668848497,0.21284418130276797,0.3447756087504816,0.19935535358749257
3,0.14313101768493652,0.3864875799994377,0.5788722201112927,0.46350992335511176,0.3828064233316427,0.46324308773701817,0.17316690002932333
4,0.20113348960876465,0.39915478379094776,0.4675645333825378,0.43065988384626164,0.3445957490080099,0.43027762759060095,0.11475498099193057
5,0.22797560691833496,0.48508110141110333,0.49264245782937294,0.48883254123769954,0.4050177732271597,0.4884049823088126,0.11733823689134085
6,0.6245574951171875,0.49831943311973337,0.45114525914111125,0.4735604211980342,0.3865060184106478,0.4730412128166036,0.10741276369485221
7,0.42365145683288574,0.5551002720459668,0.4628221321693267,0.5047785379557279,0.41104426731268473,0.5042175170902208,0.10205364748454754
8,1.0332040786743164,0.5404272277926703,0.4236337106138807,0.47495585124523526,0.3615337307644923,0.47428494736634436,0.09305365249127984
9,1.2458596229553223,0.5869704502373557,0.43388693367684905,0.49895080904623124,0.3874755700178854,0.4982428804383106,0.09278386735999919
10,1.9148859977722168,0.5803312480820664,0.41072605109807925,0.4810159050354574,0.360571854801856,0.48021125444861645,0.08963677146864701
