k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.09999823570251465,11571411252.914265,0.14333746768273228,0.3370247349503647,0.2011326944102944,0.15312813691372848,0.2009003400649283,0.28570110674230553
3,0.15696477890014648,9675891279.197823,0.24598335813590758,0.37018658021566825,0.29556696122471493,0.23006119788126156,0.29521592738215274,0.24250383456435426
4,0.14899945259094238,8143799208.763778,0.3461991307834211,0.40390413304123346,0.3728320259952729,0.31490513968922307,0.37241172952976687,0.24457369275444912
5,0.24686050415039062,7537189918.610015,0.4228757716018396,0.43376511149141134,0.4282512306756696,0.35174497888157846,0.42777061205355305,0.23889661714193805
6,0.2690002918243408,7013279043.199009,0.44575802661961517,0.4056822685599045,0.42477700078712827,0.34624553351083415,0.4242080999351227,0.21388721902314803
7,0.45916008949279785,6557183041.997192,0.5125558150455265,0.42858938967474197,0.4668269738672159,0.3753613757767726,0.466221999388059,0.21358687669086074
8,0.514962911605835,6163236385.053449,0.5186778168639489,0.4048607581744034,0.4547558702137856,0.3687711007823653,0.4540608394205934,0.20846805388227957
9,0.5768866539001465,5879348180.120472,0.5207766639588689,0.38689635482189516,0.44396294434892686,0.3506777047735279,0.4431750300529914,0.20715503972275368
10,0.6400718688964844,5649936774.312509,0.516786935879588,0.36362264575097547,0.4268818441663175,0.2951957973858736,0.4259963577535861,0.1927294248022711
