k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.04808306694030762,339.5368002139325,0.06405487642503771,0.04845348549980926,0.05517246848062418,0.06160702726070362,0.054973482545560455,0.27958510936164904
3,0.09096550941467285,291.7474825022182,0.09368499763229537,0.04543453349690203,0.06119247424905073,0.07737172114855956,0.06089249793614356,0.21691343103829433
4,0.12803196907043457,249.5953685936139,0.11930715867950654,0.045765130918891964,0.06615414070783698,0.04855340082970029,0.06577405996571108,0.21358351722534893
5,0.18011689186096191,229.72414482702328,0.13069215147956612,0.04381022809528292,0.06562263483779214,0.03951717599291392,0.06516328560083036,0.20049693589813986
6,0.2769584655761719,214.21050500261632,0.13686432826488729,0.0407461259671429,0.06279687965443867,0.02548096160740149,0.06227047013831483,0.18544333864477777
7,0.3249640464782715,200.932548617912,0.14106357071065578,0.038687856143595684,0.06072215643863424,0.02498375916697951,0.06012801710258643,0.17598492593636536
8,0.33403968811035156,191.10529081883988,0.13981631801089658,0.035615087669942924,0.056769429673338895,0.025174164899335598,0.05611270253094356,0.17310720423223164
9,0.34503746032714844,182.16253156351084,0.13982727837565134,0.0338899259550109,0.05455690043942415,0.023963268455210927,0.053833699050034246,0.1733996994195031
10,0.45496606826782227,174.52583437335286,0.13678910872575084,0.0314756793853721,0.051175652113490844,0.018026838042971942,0.05039255148872794,0.16373575057939363
