k,eta,homo,compl,vmeas,ari,ami,silhouette
2,0.03524446487426758,0.11216561986140812,0.08463330162807407,0.09647356465353185,0.06061457574334894,0.09628354975633505,0.18488259515078137
3,0.06391787528991699,0.0708324107749473,0.03371620906745251,0.045685928212918635,0.01884560436890252,0.045384830927541864,0.05972500006105042
4,0.12318778038024902,0.07587122472413309,0.029404819840938387,0.0423834254666646,0.01347872088319659,0.04199074696708749,0.04991399135268471
5,0.1790447235107422,0.08685438601345725,0.031233230438351658,0.045944581395576174,-0.013199480833123974,0.04545007813701462,0.02822474277991395
6,0.20086455345153809,0.08475239844943683,0.02730043412354432,0.041297970208370116,-0.017152639772928868,0.040725745192954736,0.011559380679313688
7,0.1834580898284912,0.0786228574597883,0.023810993689982657,0.03655214251636796,-0.004971419305529344,0.03589316981167428,0.005537215918841651
8,0.17963957786560059,0.08434024537606588,0.023364127789065173,0.03659157400612347,-0.014590327808896086,0.03587366771372048,-0.0017458364861572917
9,0.23288273811340332,0.1258595609803293,0.03211453649594205,0.051171951972356106,-0.003665907491693925,0.0504151047390492,-0.022601902389635546
10,0.1724414825439453,0.13300353337071882,0.03301993339057164,0.05290538618768054,0.011817548963243161,0.05207170965217013,-0.004417367912335532
