k,eta,homo,compl,vmeas,ari,ami,silhouette
2,1.1304347515106201,0.23509809878484722,0.6107759610982996,0.3395121662852141,0.20654718821040877,0.33931443673292927,0.17931703042072414
3,0.5558898448944092,0.395018525778841,0.5894650483106416,0.47303910498898494,0.3928287088012153,0.47277739959123904,0.15415551784916057
4,1.7039623260498047,0.4150475882653219,0.4846920074134721,0.4471743817758059,0.3700297910314568,0.4468037408829733,0.10983125846920656
5,1.3719947338104248,0.48718283303543325,0.4945842921660132,0.49085566311424855,0.40315558745803326,0.49042987775364255,0.10041686945388933
6,2.803032398223877,0.4942727201437681,0.4496914350927964,0.4709293411527234,0.3738211478909323,0.4704061766408948,0.07938485005737944
7,6.8519287109375,0.5707930267798247,0.4789310817777194,0.5208426091356261,0.416550255219968,0.5202978974959006,0.08346451348495351
8,6.651958227157593,0.6004632322667942,0.46873072285987416,0.526481773604578,0.4096546683316208,0.5258781477571909,0.08479322516243036
9,4.976968288421631,0.5838562325819346,0.4323874252970814,0.4968337882209172,0.38462065688584446,0.4961221061397998,0.08218090001770033
10,7.222944498062134,0.621042742507458,0.43784075009636514,0.5135934635315088,0.3661655776548496,0.51284105235687,0.07270941762644031
