k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,2.255769968032837,15632984409.895489,0.14089723690403572,0.3300045215804042,0.19747951422463664,0.1519611056364565,0.19724636864908468,0.25350604676501093
3,3.8117589950561523,13811628898.167688,0.24472626601722972,0.3717405851984949,0.2951486691077639,0.22728533859110162,0.29479611637882885,0.19894614827127627
4,4.803347826004028,12340888547.181742,0.3395451845463795,0.39633672051918867,0.36574951492849656,0.3094140057603312,0.3653243747554576,0.18169297763860967
5,6.114111661911011,11757871015.436176,0.35280323386953627,0.35991871445737184,0.3563254553583193,0.28923605960787685,0.3557858518039306,0.15723494490206194
6,7.702966928482056,11224606782.392733,0.4249633530139126,0.38904531569148587,0.406211894754269,0.3206032271370391,0.40562280513541493,0.1504400086677242
7,7.278998136520386,10779233333.361197,0.5105954676372785,0.42784179550810314,0.4655699218934151,0.37897216244516213,0.4649628237477158,0.1470523142912215
8,11.79723310470581,10377649673.674835,0.5176754573996424,0.40435988403245965,0.4540545866613825,0.374534365194292,0.45335838734804373,0.14093425008047059
9,8.506941318511963,10102213254.65605,0.5168812231107477,0.3848819801998369,0.4412206396282952,0.35776107944846325,0.44042778669920396,0.13952955247340285
10,7.7859885692596436,9849332006.267605,0.519757647125014,0.3681620862198843,0.43101882413047976,0.3400728968776449,0.43013623935866147,0.13536656702532537
