k,eta,homo,compl,vmeas,ari,ami,silhouette
2,13.706915378570557,0.2335395686891571,0.5505254676567488,0.32795616258606547,0.24619762902562004,0.3277605452762455,0.19010571448203867
3,14.778686761856079,0.35647654570402604,0.5261868453305641,0.42501653727471156,0.36601117462679555,0.42473223847228136,0.15157015887664343
4,15.563883781433105,0.3724923195024411,0.4467617228274074,0.40626057804396026,0.3605424314208481,0.40585757112669735,0.13996353269213568
5,19.830653429031372,0.42511103082779617,0.443142426911247,0.43393949595854364,0.3904377430933721,0.4334598393489763,0.1105293060933382
6,28.307286977767944,0.43295545873348523,0.3963010791554692,0.41381817973754154,0.3575110886759419,0.41323668076079156,0.10732187414628758
7,21.9398295879364,0.4751993281623696,0.4047170124046111,0.43713531281082685,0.358088001485597,0.43649017724465233,0.11716550771093683
8,13.966268539428711,0.47904573164782793,0.38073711974745944,0.42427106285946115,0.3502407870494472,0.4235296412426868,0.12053633283168196
9,15.51734733581543,0.46815732875344224,0.35367887491801275,0.40294490940759875,0.3258032754971079,0.4020906471641953,0.11419044013201766
10,17.123332023620605,0.49075516719246304,0.3540459529670239,0.41133913461039234,0.32595773536915407,0.4104161103153541,0.11599552126141559
