k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,2.3320388793945312,15720964418.282013,0.14298168228020267,0.33614505251011045,0.20062577021128639,0.15295837322353867,0.2003932773578053,0.23388000898431022
3,2.974961757659912,13823852138.85831,0.2457699829536226,0.3698412802613233,0.2953028658724664,0.23002677856756013,0.2949517096300422,0.18928008827813722
4,3.2949655055999756,12290354104.836937,0.34715915360872407,0.40510283701864436,0.3738994121093347,0.3158170900151989,0.37347979311600055,0.18258655135894378
5,4.9169628620147705,11681245639.081516,0.4190232121236582,0.430659033542759,0.42476145049640984,0.34780802583944775,0.42427742509256294,0.1748442267737592
6,6.974965572357178,11153007583.463717,0.44225418895047053,0.40285423132870685,0.4216357737453069,0.34236169978811265,0.42106349574541013,0.15155089422016987
7,8.573920488357544,10696500002.646517,0.5139497846785942,0.42979590818489155,0.4681208425908407,0.3764347239953527,0.4675173047038518,0.14898869498645534
8,10.62996768951416,10299367350.264454,0.5201980978989913,0.40611659894072466,0.4561324202561537,0.37070208473563054,0.45543907712600457,0.14367693337017057
9,8.536966323852539,10011074486.132406,0.5230868938025942,0.3881031162294351,0.4455967499828632,0.35107777297748094,0.444811750729494,0.14011444224106243
10,8.209960460662842,9776450189.35973,0.5164275399793928,0.36348435113696637,0.42666392209000437,0.2915165023501365,0.4257779339843274,0.12618317311997734
