k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.14202213287353516,8.252210962006846,0.046245103667370537,0.03673286247427269,0.04094376162998024,-0.022974471171007555,0.04073612987628732,0.09726815436151737
3,0.17499303817749023,7.642073413201487,0.11152029567707755,0.053095103601156705,0.07193958376394705,0.05280184346226577,0.07164672682790764,0.10377630584011888
4,0.1840043067932129,6.980920250540213,0.11074364265524879,0.049157984035566656,0.0680910423533535,0.04644021130437198,0.06766925424855932,0.11413055298358973
5,0.22496294975280762,6.533513661623822,0.10913107751141525,0.04049884151196785,0.059074846006892626,0.01056768851122226,0.05857512955488129,0.12030367499534754
6,0.233046293258667,6.144757591514291,0.13471921126694966,0.04257570031073157,0.06470309513069893,0.0116288970638504,0.06415231077052243,0.12328217123797684
7,0.3159635066986084,5.7761652888569195,0.1355541362474562,0.03850869696310528,0.05997849234746393,0.015457182122544556,0.05936654488584465,0.12856560327631505
8,0.3190345764160156,5.470876830357108,0.15780599493064532,0.04131663103590658,0.06548740542321727,0.01756189870250988,0.06482171191294096,0.13213973356243597
9,0.41399431228637695,5.199157017243002,0.14616869449472011,0.03622075441812586,0.05805533618823752,0.012523398820083177,0.05732126431960759,0.1308676661969843
10,0.3790416717529297,5.002682479715429,0.14080074436104015,0.03323486336876209,0.05377627672980903,0.013032690433167482,0.05297834611671496,0.1271617918705529
