k,eta,homo,compl,vmeas,ari,ami,silhouette
2,0.04596138000488281,0.039372930752859185,0.05338586002146827,0.04532093944434764,-0.08669735691617197,0.045051952170548824,0.24827350629187062
3,0.06896519660949707,0.09266725029069242,0.05197523962028616,0.0665973399901518,-0.012447195753237352,0.06626898603547486,0.08787692343477839
4,0.10596990585327148,0.07731687571042939,0.03174262541472057,0.04500736934595606,-0.008450321993482068,0.04459911784304318,0.05607175978078381
5,0.1810603141784668,0.06016258569836275,0.022279556283705922,0.03251724620477455,-0.005483888339838578,0.03200462359500092,0.056288270776380656
6,0.18596506118774414,0.1301501210159787,0.041083946630662144,0.062453467341895316,0.016539830365558228,0.061902293251060586,0.06273521564134765
7,0.2519676685333252,0.10175157423472311,0.029729054566405087,0.04601404982960874,0.0023712288520448626,0.0453796509905026,0.04661441021404238
8,0.1860337257385254,0.11496439671830987,0.031176817894723444,0.04905151596494035,0.003378286525184005,0.048355237845425135,0.049884897224437556
9,0.21096420288085938,0.11703369731254852,0.031160541683924427,0.049216938907028066,0.00044327307864546465,0.0484320303314877,0.039631516008277315
10,0.24197101593017578,0.11102021774698091,0.027473894764075274,0.04404747210928229,-0.003146417397261264,0.04321015337821271,0.03138766808941518
