k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,1.1789493560791016,79891.93886571753,0.18871391251513067,0.1532208161664315,0.1691252585487262,0.17209364799648919,0.16909775708760072,0.13074566124378545
3,1.994995355606079,75043.07805736439,0.19994170918712761,0.10590027721773647,0.13846288849481597,0.03343732920635199,0.13841881528685276,0.14054626425413766
4,2.5539677143096924,71182.79365451836,0.20341120623779566,0.0916596482392659,0.12637371213584583,-0.008055184734574752,0.12631356595621407,0.15512577963018648
5,2.873967170715332,68032.08134008425,0.20557365636205036,0.07498091302428889,0.10988308250678944,0.03387719356458132,0.1098127821771461,0.12411415987993688
6,3.174011707305908,65906.5596690662,0.22138471405223129,0.07125595509644539,0.10781125733095344,0.055598587331278225,0.10773100733765668,0.10588319654128678
7,3.299013376235962,64440.83271325193,0.22321700395872157,0.06640562491824645,0.10235985149181397,0.041696054299484406,0.10226861195026553,0.10869136877861864
8,4.207015037536621,62963.82072013906,0.23115437958232493,0.06341273821605585,0.09952320727109581,0.04326649102920864,0.09942294692143984,0.09906150253131767
9,4.043967962265015,61416.37923576593,0.22815271000218437,0.06102175048993703,0.09628981563353219,0.05092243565458576,0.09617708318934093,0.0994790642772096
10,4.366968631744385,60523.637992716795,0.22792706244947253,0.05825708769946476,0.09279596273441358,0.039212546034921025,0.09267314143911067,0.08979934652567058
