k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.0629889965057373,388.4534469157524,0.12173421694237271,0.09192684697107643,0.1047513526988565,0.09919252777924262,0.1045629924239565,0.2336430953476347
3,0.14904141426086426,346.147366854765,0.10764228110377236,0.05162292159051094,0.06978057910000997,0.06412450236915102,0.06948558765325583,0.17279101251139234
4,0.17496633529663086,319.27416088649096,0.1211552295791253,0.0463971646702536,0.067098523570825,0.0659616370650329,0.0667192849009507,0.15693054299293044
5,0.20241475105285645,297.3001595864142,0.13534688216377855,0.044578086225434826,0.06706690058034658,0.0379666278409809,0.06661432616545965,0.1469646270816808
6,0.2499675750732422,280.4710646537216,0.137241460591706,0.04112422291440784,0.06328513767368014,0.038378997695100975,0.06275634928071455,0.1494060428759699
7,0.3179652690887451,268.6386093700346,0.1570072033728344,0.04346747504434451,0.0680854734201303,0.022771628742635212,0.06749159067541276,0.14836062110888837
8,0.2969644069671631,258.50540711411634,0.16377315078010624,0.04174965484660033,0.06653736063362865,0.02346769421075564,0.06588703174447189,0.132668330484211
9,0.3139631748199463,249.31223079571495,0.17737891098299377,0.043008559954998776,0.06923090042546833,0.01592930881184244,0.06851871209479989,0.13248298660379867
10,0.31496548652648926,241.50781538666496,0.16221742714865525,0.03828161694902047,0.061944887932086086,0.021218046025491495,0.06115392370734062,0.1321478884012828
