k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.040987253189086914,300.16635106332353,0.12043783674381778,0.09095874838723367,0.10364287466509804,0.09882149341222617,0.10345426831347229,0.27924810410249706
3,0.08800268173217773,258.2543952625189,0.10657428335051959,0.051022756028784165,0.06900781486444824,0.06208248950998618,0.06871292318809374,0.21662957128768762
4,0.13202643394470215,232.1428907725886,0.12231392531413615,0.04693565860714768,0.06783927627396091,0.06849953644937631,0.06745978218039259,0.20215696819758008
5,0.15189194679260254,210.42318863272448,0.1472819237627451,0.04785280205366612,0.0722357613634861,0.037882768185671115,0.07179032058915008,0.1816891362657023
6,0.2330002784729004,194.48015158570314,0.13700330034543112,0.04068755856388703,0.06274188599758312,0.03725862819303461,0.062216450683891276,0.18781700612003666
7,0.20903611183166504,183.66535419647838,0.14134751530706424,0.03887696585389627,0.06098131053813966,0.03114120725893456,0.06038599364358439,0.18768385276204683
8,0.3249995708465576,174.51579438708404,0.155723692776526,0.039910615051093945,0.06353720291448084,0.023028273595348817,0.06288196053936106,0.17426553315525659
9,0.2519662380218506,166.98843312862425,0.15077694848057963,0.03645359937169021,0.05871224046979565,0.023909250609870765,0.057993690437037095,0.1671693591144054
10,0.3579597473144531,160.4207080116279,0.1542283989099226,0.03564353442782932,0.05790476927957642,0.02000807195787382,0.05712444847254467,0.16517855559910394
