k,eta,homo,compl,vmeas,ari,ami,silhouette
2,0.020966768264770508,0.12046842278367305,0.09132447715467795,0.10389126101554898,0.04801358977170489,0.10370230212077024,0.25368312724736874
3,0.04296565055847168,0.11429968676145849,0.05483937705488915,0.07411798880917676,0.07137342213074961,0.0738242865707986,0.1703791620275914
4,0.11592674255371094,0.10757087293476561,0.043398211619912586,0.061845556281039556,0.004429566426482886,0.06144956296188212,0.1100840211268801
5,0.1009683609008789,0.10102715888664851,0.03519841445921066,0.05220746329473052,0.044109926228017626,0.05172777721862032,0.13056490832148976
6,0.10096883773803711,0.1124249501569557,0.03624697778871763,0.05481955776783822,0.03976375462736811,0.05425503070051259,0.13398635887238683
7,0.12696576118469238,0.1133999731608942,0.03280200997879062,0.05088504234124247,0.04155335869977249,0.05025890624206205,0.10127000714140051
8,0.21300077438354492,0.12749848409204761,0.03529954056695572,0.05529106290889742,0.024408243467674395,0.05458742250195659,0.08824658216135214
9,0.14704561233520508,0.1376574977992467,0.03434178716872949,0.05497004818923233,0.02623930789801035,0.054229900503048115,0.09874942475611923
10,0.13996076583862305,0.14517965453707085,0.034733745332802046,0.05605622651611292,0.02908729410104077,0.05525151190443004,0.09202147127297601
