k,eta,homo,compl,vmeas,ari,ami,silhouette
2,0.04794716835021973,0.0329713686416222,0.052600127103093024,0.04053448326966684,-0.08052998050771616,0.04024561897103201,0.18843576544902593
3,0.06298637390136719,0.12532999934099748,0.07230657289655266,0.09170552424459578,0.035244078286006314,0.09138009743135102,0.177360159498924
4,0.08100152015686035,0.11105753493969016,0.04584896593036824,0.06490327816280031,-0.005291081412262453,0.06450197296755572,0.08810419802536812
5,0.2339649200439453,0.07824136482317547,0.028240339903990653,0.04150126527031265,-0.01935558304092339,0.04100322706637666,0.02450864675947332
6,0.238999605178833,0.11936340749315168,0.03731382979734785,0.056854536731112106,-2.3600033764232954e-05,0.056304323273106575,0.028229362025643256
7,0.34096693992614746,0.1365410046616192,0.03890806337797289,0.060559410459422154,0.01155952841724626,0.05994691506493269,0.027219994698987064
8,0.23096585273742676,0.13447907291621972,0.03699180497644189,0.058022956432795,0.023551206972756044,0.057324600998204654,0.02207115749851978
9,0.23697233200073242,0.11049797437756276,0.028109400567071587,0.0448176992727783,0.00864601400253183,0.04405756551097915,0.014778595894989862
10,0.30196666717529297,0.11789393967728767,0.029574460267524912,0.047286735816930804,0.007492491534662152,0.046441677734605745,0.02242583769837847
