k,eta,homo,compl,vmeas,ari,ami,silhouette
2,2.483983278274536,0.0005003109785356711,0.1872461338374818,0.0009979554770164084,6.672782271118816e-07,0.0005168692003517224,0.07009671940380974
3,3.81699800491333,0.0006672197020540108,0.18149100992154402,0.00132955154225595,1.0011677647405387e-06,0.0005169372510900066,0.07012819540293483
4,35.375844955444336,0.1673630491763656,0.38558066145044234,0.2334123852521393,0.18057993443025475,0.2327540692632045,0.014081407338651236
5,33.53374910354614,0.1695271002102227,0.38975164734520773,0.23628098462669306,0.18172340338984216,0.23544775677414373,0.013354703285499996
6,46.709444522857666,0.16903229610909953,0.3877725991067441,0.2354364818211506,0.18135814155471996,0.23442492911503698,0.013677523745098437
7,111.30544638633728,0.1609607348132272,0.322572732687796,0.21475884328121916,0.1564984449782517,0.2135446542308052,-0.050533297111243436
8,97.22994589805603,0.18133839685746977,0.33882085856191124,0.23624007714310954,0.16382945134052465,0.2349519981874572,-0.09866491644734814
9,60.22926115989685,0.15101176452808276,0.28242153331575864,0.19679602051296538,0.12863989087719116,0.19526586806586177,-0.09658023828722541
10,110.81455183029175,0.16768491264256305,0.31103794095275866,0.217897974017657,0.14709369376118991,0.2162423747323295,-0.0974938475258862
