k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,2.163142681121826,649.2036600908224,0.035644671719402964,0.2889847906617574,0.06346169518615158,0.007544740912418336,0.06311505697100045,0.10652632851735314
3,3.091059684753418,648.5157264486705,0.02518883923781177,0.05382170404767401,0.03431709729835478,0.013461504690052256,0.033769429460384755,-0.004077739239064137
4,4.936865329742432,648.0015290848173,0.10123760389346163,0.32238031102708187,0.15408701606461703,0.039832041283723224,0.1532403109103685,-0.1157544077847155
5,5.809966325759888,647.3896008687536,0.02614309633979532,0.05554668790873622,0.03555309704176968,0.014098364410252385,0.03456915132764188,-0.00515313018923685
6,7.82599949836731,646.5264678621305,0.20598647077425797,0.33718143413388985,0.25573975560867507,0.1349266863079706,0.25485335471859144,-0.10810465145855583
7,9.951976537704468,646.1033710982811,0.20691327944377502,0.33895446439716487,0.2569640012690035,0.1356726977934697,0.25592457899408466,-0.10753758214914734
8,11.667275190353394,645.9738673021028,0.28031206953048643,0.6161791170401428,0.385329930927062,0.1505747368260064,0.38408641984177044,-0.1416954618584292
9,19.59696650505066,645.4015122769032,0.20673158043331052,0.49877238858708856,0.2923073680571306,0.08825218001973485,0.29066703400869237,-0.1516286183916483
10,18.643383741378784,645.195296142626,0.24938911636338812,0.3057698432108912,0.2747165282801601,0.22709179914760133,0.27325925432710146,-0.0367786896338743
